Implementation,Iterations,Time (ms),Nodes,Edges,Visible Nodes,Intersections,Viewport X,Viewport Y,Viewport Scale
baseline,10000,318,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,310,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,308,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,311,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,309,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,302,400,800,20,38,0.1738195774,0.043576,1.151887642
baseline,10000,373,400,800,38,71,-0.0023,-0.0023,1
baseline,10000,368,400,800,38,71,-0.0023,-0.0023,1
baseline,10000,371,400,800,38,71,-0.0023,-0.0023,1
baseline,10000,371,400,800,38,71,-0.0023,-0.0023,1
baseline,10000,388,400,800,72,94,-0.83008,-0.70611,1
baseline,10000,386,400,800,72,94,-0.83008,-0.70611,1
baseline,10000,384,400,800,72,94,-0.83008,-0.70611,1
baseline,10000,386,400,800,72,94,-0.83008,-0.70611,1
baseline,10000,427,400,800,146,119,-0.88291,-0.49693,0.654289
baseline,10000,425,400,800,146,119,-0.88291,-0.49693,0.654289
baseline,10000,427,400,800,146,119,-0.88291,-0.49693,0.654289
baseline,10000,425,400,800,146,119,-0.88291,-0.49693,0.654289
baseline,10000,426,400,800,213,126,-0.84678,-0.5455,0.4931163522
baseline,10000,422,400,800,213,126,-0.84678,-0.5455,0.4931163522
baseline,10000,431,400,800,213,126,-0.84678,-0.5455,0.4931163522
baseline,10000,443,400,800,173,128,-0.58727,-1.37267,0.4931163522
baseline,10000,433,400,800,173,128,-0.58727,-1.37267,0.4931163522
baseline,10000,443,400,800,173,128,-0.58727,-1.37267,0.4931163522
baseline,10000,415,400,800,130,112,1.488770422,-0.85366,0.4931163522
baseline,10000,418,400,800,130,112,1.488770422,-0.85366,0.4931163522
baseline,10000,416,400,800,130,112,1.488770422,-0.85366,0.4931163522
baseline,10000,421,400,800,130,112,1.488770422,-0.85366,0.4931163522
baseline,10000,500,400,800,171,143,0.9535402817,0.2573501758,0.4931163522
baseline,10000,459,400,800,171,143,0.9535402817,0.2573501758,0.4931163522
baseline,10000,463,400,800,171,143,0.9535402817,0.2573501758,0.4931163522
baseline,10000,470,400,800,171,143,0.9535402817,0.2573501758,0.4931163522
baseline,10000,484,400,800,173,158,-0.17369,0.2573501758,0.4931163522
baseline,10000,484,400,800,173,158,-0.17369,0.2573501758,0.4931163522
baseline,10000,490,400,800,173,158,-0.17369,0.2573501758,0.4931163522
baseline,10000,460,400,800,230,138,-0.34983,0.3127784786,0.4280941423
baseline,10000,455,400,800,230,138,-0.34983,0.3127784786,0.4280941423
baseline,10000,460,400,800,230,138,-0.34983,0.3127784786,0.4280941423
baseline,10000,458,400,800,230,138,-0.34983,0.3127784786,0.4280941423
baseline,10000,459,400,800,124,120,0.6029856786,1.330978832,0.4280941423
baseline,10000,439,400,800,124,120,0.6029856786,1.330978832,0.4280941423
baseline,10000,488,400,800,124,120,0.6029856786,1.330978832,0.4280941423
baseline,10000,429,400,800,124,120,0.6029856786,1.330978832,0.4280941423
baseline,10000,420,400,800,245,116,-0.98503,-0.20099,0.4280941423
baseline,10000,413,400,800,245,116,-0.98503,-0.20099,0.4280941423
baseline,10000,419,400,800,245,116,-0.98503,-0.20099,0.4280941423
baseline,10000,425,400,800,245,116,-0.98503,-0.20099,0.4280941423
baseline,10000,439,400,800,246,127,-0.74216,-0.64003,0.4280941423
baseline,10000,445,400,800,246,127,-0.74216,-0.64003,0.4280941423
baseline,10000,440,400,800,246,127,-0.74216,-0.64003,0.4280941423
baseline,10000,447,400,800,246,127,-0.74216,-0.64003,0.4280941423
baseline,10000,398,400,800,295,96,-1.06274,-0.6034,0.3226406226
baseline,10000,398,400,800,295,96,-1.06274,-0.6034,0.3226406226
baseline,10000,389,400,800,295,96,-1.06274,-0.6034,0.3226406226
baseline,10000,393,400,800,295,96,-1.06274,-0.6034,0.3226406226
baseline,10000,342,400,800,367,56,-0.2695,-0.19438,0.3226406226
baseline,10000,340,400,800,367,56,-0.2695,-0.19438,0.3226406226
baseline,10000,339,400,800,367,56,-0.2695,-0.19438,0.3226406226
baseline,10000,336,400,800,367,56,-0.2695,-0.19438,0.3226406226
baseline,10000,414,400,800,291,102,0.6848753767,0.4997103411,0.3226406226
baseline,10000,402,400,800,291,102,0.6848753767,0.4997103411,0.3226406226
baseline,10000,403,400,800,291,102,0.6848753767,0.4997103411,0.3226406226
baseline,10000,409,400,800,291,102,0.6848753767,0.4997103411,0.3226406226
baseline,10000,387,400,800,345,81,0.4741698607,0.003933,0.3226406226
baseline,10000,376,400,800,345,81,0.4741698607,0.003933,0.3226406226
baseline,10000,377,400,800,345,81,0.4741698607,0.003933,0.3226406226
baseline,10000,382,400,800,345,81,0.4741698607,0.003933,0.3226406226
baseline,10000,463,400,800,178,141,0.8983744198,-0.18032,0.4931163522
baseline,10000,461,400,800,178,141,0.8983744198,-0.18032,0.4931163522
baseline,10000,449,400,800,178,141,0.8983744198,-0.18032,0.4931163522
baseline,10000,462,400,800,178,141,0.8983744198,-0.18032,0.4931163522
baseline,10000,447,400,800,140,128,1.134694825,-0.22951,0.5680146324
baseline,10000,448,400,800,140,128,1.134694825,-0.22951,0.5680146324
baseline,10000,438,400,800,140,128,1.134694825,-0.22951,0.5680146324
baseline,10000,445,400,800,140,128,1.134694825,-0.22951,0.5680146324
baseline,10000,431,400,800,166,121,-0.4916,-0.87017,0.5680146324
baseline,10000,421,400,800,166,121,-0.4916,-0.87017,0.5680146324
baseline,10000,425,400,800,166,121,-0.4916,-0.87017,0.5680146324
baseline,10000,430,400,800,166,121,-0.4916,-0.87017,0.5680146324
baseline,10000,361,400,800,52,76,-0.2204,-0.80183,1.151887642
baseline,10000,355,400,800,52,76,-0.2204,-0.80183,1.151887642
baseline,10000,359,400,800,52,76,-0.2204,-0.80183,1.151887642
baseline,10000,354,400,800,52,76,-0.2204,-0.80183,1.151887642
baseline,10000,311,400,800,26,48,0.00081,-0.83026,1.760518
baseline,10000,308,400,800,26,48,0.00081,-0.83026,1.760518
baseline,10000,308,400,800,26,48,0.00081,-0.83026,1.760518
baseline,10000,309,400,800,26,48,0.00081,-0.83026,1.760518
baseline,10000,277,400,800,7,24,0.2838767239,-0.86211,4.112455
baseline,10000,268,400,800,7,24,0.2838767239,-0.86211,4.112455
baseline,10000,264,400,800,7,24,0.2838767239,-0.86211,4.112455
baseline,10000,269,400,800,7,24,0.2838767239,-0.86211,4.112455
baseline,10000,255,400,800,4,13,0.4637706782,-0.93504,4.112455
baseline,10000,250,400,800,4,13,0.4637706782,-0.93504,4.112455
baseline,10000,254,400,800,4,13,0.4637706782,-0.93504,4.112455
baseline,10000,264,400,800,4,13,0.4637706782,-0.93504,4.112455
baseline,10000,240,400,800,3,8,0.4993477673,-0.94218,7.240051703
baseline,10000,240,400,800,3,8,0.4993477673,-0.94218,7.240051703
baseline,10000,238,400,800,3,8,0.4993477673,-0.94218,7.240051703
baseline,10000,249,400,800,3,8,0.4993477673,-0.94218,7.240051703
baseline,10000,251,400,800,1,4,0.5462050625,-0.93014,14.68223812
baseline,10000,237,400,800,1,4,0.5462050625,-0.93014,14.68223812
baseline,10000,237,400,800,1,4,0.5462050625,-0.93014,14.68223812
baseline,10000,237,400,800,1,4,0.5462050625,-0.93014,14.68223812
baseline,10000,229,400,800,0,0,0.4860120553,-0.70516,14.68223812
baseline,10000,227,400,800,0,0,0.4860120553,-0.70516,14.68223812
baseline,10000,227,400,800,0,0,0.4860120553,-0.70516,14.68223812
baseline,10000,245,400,800,1,5,0.8700488889,-0.46276,14.68223812
baseline,10000,246,400,800,1,5,0.8700488889,-0.46276,14.68223812
baseline,10000,266,400,800,4,18,0.7323778215,-0.46707,4.112455307
baseline,10000,260,400,800,4,18,0.7323778215,-0.46707,4.112455307
baseline,10000,292,400,800,10,22,0.7087303365,-0.63611,2.335935
baseline,10000,278,400,800,10,22,0.7087303365,-0.63611,2.335935
baseline,10000,278,400,800,10,22,0.7087303365,-0.63611,2.335935
baseline,10000,379,400,800,54,78,0.484602,-0.55838,1
baseline,10000,374,400,800,54,78,0.484602,-0.55838,1
baseline,10000,375,400,800,54,78,0.484602,-0.55838,1
baseline,10000,384,400,800,54,78,0.484602,-0.55838,1
baseline,10000,435,400,800,152,125,-0.80567,-0.93744,0.6542890357
baseline,10000,432,400,800,152,125,-0.80567,-0.93744,0.6542890357
baseline,10000,425,400,800,152,125,-0.80567,-0.93744,0.6542890357
baseline,10000,424,400,800,152,125,-0.80567,-0.93744,0.6542890357
baseline,10000,414,400,800,269,111,-0.95069,-0.61671,0.3716457461
baseline,10000,420,400,800,269,111,-0.95069,-0.61671,0.3716457461
baseline,10000,414,400,800,269,111,-0.95069,-0.61671,0.3716457461
baseline,10000,418,400,800,269,111,-0.95069,-0.61671,0.3716457461
baseline,10000,265,400,800,400,0,-0.44995,-0.22785,0.2111002219
baseline,10000,262,400,800,400,0,-0.44995,-0.22785,0.2111002219
baseline,10000,269,400,800,400,0,-0.44995,-0.22785,0.2111002219
baseline,10000,268,400,800,400,0,-0.44995,-0.22785,0.2111002219
baseline,10000,432,400,800,252,125,0.859372414,-0.056,0.3716457461
baseline,10000,438,400,800,252,125,0.859372414,-0.056,0.3716457461
baseline,10000,435,400,800,252,125,0.859372414,-0.056,0.3716457461
baseline,10000,480,400,800,186,152,-0.01886,-0.31705,0.493116
baseline,10000,476,400,800,186,152,-0.01886,-0.31705,0.493116
baseline,10000,463,400,800,186,152,-0.01886,-0.31705,0.493116
baseline,10000,476,400,800,186,152,-0.01886,-0.31705,0.493116
baseline,10000,395,400,800,123,92,2.162608976,0.064099,0.493116
